10000
100,;
449,350,451,;
351,452,;
352,453,;
353,454,;
354,455,;
355,456,;
356,457,;
357,458,;
358,459,;
359,460,;
360,461,;
361,462,;
362,463,;
363,464,;
364,465,;
365,466,;
366,467,566,;
468,567,;
469,568,;
470,569,;
471,570,;
472,571,;
473,572,;
474,573,;
475,574,;
476,575,;
477,576,;
478,577,;
479,578,;
480,579,;
481,580,;
482,581,;
483,582,;
484,583,;
485,584,;
486,585,;
487,586,;
488,587,;
489,588,;
490,589,;
491,590,;
492,591,;
493,592,;
494,593,;
495,594,;
496,595,;
497,596,;
498,597,;
499,598,;
599,;
600,;
500,601,;
501,602,;
502,603,;
503,604,;
504,605,;
505,606,;
506,607,;
507,608,;
508,609,;
509,610,;
510,611,;
511,612,;
512,613,;
513,614,;
514,615,;
515,616,;
516,617,;
517,618,;
518,619,;
519,620,;
520,621,;
521,622,;
522,623,;
523,624,;
524,625,;
525,626,;
526,627,;
527,628,;
528,629,;
529,630,;
530,431,631,;
531,432,;
532,433,;
533,434,;
534,435,;
535,436,;
536,437,;
537,438,;
538,439,;
539,440,;
540,441,;
541,442,;
542,443,;
543,444,;
544,445,;
545,446,;
546,447,;
547,448,;
548,449,;
549,450,551,;
451,552,;
452,553,;
453,554,;
454,555,;
455,556,;
456,557,;
457,558,;
458,559,;
459,560,;
460,561,;
461,562,;
462,563,;
463,564,;
464,565,;
465,566,;
567,666,;
568,667,;
569,668,;
570,669,;
571,670,;
572,671,;
573,672,;
574,673,;
575,674,;
576,675,;
577,676,;
578,677,;
579,678,;
580,679,;
581,680,;
582,681,;
583,682,;
584,683,;
585,684,;
586,685,;
587,686,;
588,687,;
589,688,;
590,689,;
591,690,;
592,691,;
593,692,;
594,693,;
595,694,;
596,695,;
597,696,;
598,697,;
599,698,;
699,;
700,;
600,701,;
601,702,;
602,703,;
603,704,;
604,705,;
605,706,;
606,707,;
607,708,;
608,709,;
609,710,;
610,711,;
611,712,;
612,713,;
613,714,;
614,715,;
615,716,;
616,717,;
617,718,;
618,719,;
619,720,;
620,721,;
621,722,;
622,723,;
623,724,;
624,725,;
625,726,;
626,727,;
627,728,;
628,729,;
629,730,;
630,731,;
631,532,;
632,533,;
633,534,;
634,535,;
635,536,;
636,537,;
637,538,;
638,539,;
639,540,;
640,541,;
641,542,;
642,543,;
643,544,;
644,545,;
645,546,;
646,547,;
647,548,;
648,549,;
649,550,651,;
551,652,;
552,653,;
553,654,;
554,655,;
555,656,;
556,657,;
557,658,;
558,659,;
559,660,;
560,661,;
561,662,;
562,663,;
563,664,;
564,665,;
565,666,765,;
667,766,;
668,767,;
669,768,;
670,769,;
671,770,;
672,771,;
673,772,;
674,773,;
675,774,;
676,775,;
677,776,;
678,777,;
679,778,;
680,779,;
681,780,;
682,781,;
683,782,;
684,783,;
685,784,;
686,785,;
687,786,;
688,787,;
689,788,;
690,789,;
691,790,;
692,791,;
693,792,;
694,793,;
695,794,;
696,795,;
697,796,;
698,797,;
699,798,;
799,;
800,;
700,801,;
701,802,;
702,803,;
703,804,;
704,805,;
705,806,;
706,807,;
707,808,;
708,809,;
709,810,;
710,811,;
711,812,;
712,813,;
713,814,;
714,815,;
715,816,;
716,817,;
717,818,;
718,819,;
719,820,;
720,821,;
721,822,;
722,823,;
723,824,;
724,825,;
725,826,;
726,827,;
727,828,;
728,829,;
729,830,;
730,;
731,632,;
732,633,;
733,634,;
734,635,;
735,636,;
736,637,;
737,638,;
738,639,;
739,640,;
740,641,;
741,642,;
742,643,;
743,644,;
744,645,;
745,646,;
746,647,;
747,648,;
748,649,750,;
650,751,;
651,752,;
652,753,;
653,754,;
654,755,;
655,756,;
656,757,;
657,758,;
658,759,;
659,760,;
660,761,;
661,762,;
662,763,;
663,764,;
664,765,;
766,865,;
767,866,;
768,867,;
769,868,;
770,869,;
771,870,;
772,871,;
773,872,;
774,873,;
775,874,;
776,875,;
777,876,;
778,877,;
779,878,;
780,879,;
781,880,;
782,881,;
783,882,;
784,883,;
785,884,;
786,885,;
787,886,;
788,887,;
789,888,;
790,889,;
791,890,;
792,891,;
793,892,;
794,893,;
795,894,;
895,;
795,896,;
796,897,;
797,898,;
798,899,;
900,;
800,901,;
801,902,;
802,903,;
803,904,;
804,905,;
805,906,;
806,907,;
807,908,;
808,909,;
809,910,;
810,911,;
811,912,;
812,913,;
813,914,;
814,915,;
815,916,;
816,917,;
817,918,;
818,919,;
819,920,;
820,921,;
821,922,;
822,923,;
823,924,;
824,925,;
825,926,;
826,927,;
827,928,;
828,929,;
829,930,;
830,731,931,;
831,732,;
832,733,;
833,734,;
834,735,;
835,736,;
836,737,;
837,738,;
838,739,;
839,740,;
840,741,;
841,742,;
842,743,;
843,744,;
844,745,;
845,746,;
846,747,;
847,748,;
848,749,850,;
750,851,;
751,852,;
752,853,;
753,854,;
754,855,;
755,856,;
756,857,;
757,858,;
758,859,;
759,860,;
760,861,;
761,862,;
762,863,;
763,864,;
764,865,;
866,965,;
867,966,;
868,967,;
869,968,;
870,969,;
871,970,;
872,971,;
873,972,;
874,973,;
875,974,;
876,975,;
877,976,;
878,977,;
879,978,;
880,979,;
881,980,;
882,981,;
883,982,;
884,983,;
885,984,;
886,985,;
887,986,;
888,987,;
889,988,;
890,989,;
891,990,;
892,991,;
992,;
892,993,;
893,994,;
894,995,;
895,996,;
896,997,;
897,998,;
898,999,;
1000,;
900,1001,;
901,1002,;
902,1003,;
903,1004,;
904,1005,;
905,1006,;
906,1007,;
907,1008,;
908,1009,;
909,1010,;
910,1011,;
911,1012,;
912,1013,;
913,1014,;
914,1015,;
915,1016,;
916,1017,;
917,1018,;
918,1019,;
919,1020,;
920,1021,;
921,1022,;
922,1023,;
923,1024,;
924,1025,;
925,1026,;
926,1027,;
927,1028,;
928,1029,;
929,1030,;
930,1031,;
931,832,;
932,833,;
933,834,;
934,835,;
935,836,;
936,837,;
937,838,;
938,839,;
939,840,;
940,841,;
941,842,;
942,843,;
943,844,;
944,845,;
945,846,;
946,847,;
947,848,;
948,849,;
949,850,951,;
851,952,;
852,953,;
853,954,;
854,955,;
855,956,;
856,957,;
857,958,;
858,959,;
859,960,;
860,961,;
861,962,;
862,963,;
863,964,;
864,965,;
966,;
967,1066,;
968,1067,;
969,1068,;
970,1069,;
971,1070,;
972,1071,;
973,1072,;
974,1073,;
975,1074,;
976,1075,;
977,1076,;
978,1077,;
979,1078,;
980,1079,;
981,1080,;
982,1081,;
983,1082,;
984,1083,;
985,1084,;
986,1085,;
987,1086,;
988,1087,;
989,1088,;
1089,;
989,1090,;
990,1091,;
991,1092,;
992,1093,;
993,1094,;
994,1095,;
995,1096,;
996,1097,;
997,1098,;
998,1099,;
1100,;
1000,1101,;
1001,1102,;
1002,1103,;
1003,1104,;
1004,1105,;
1005,1106,;
1006,1107,;
1007,1108,;
1008,1109,;
1009,1110,;
1010,1111,;
1011,1112,;
1012,1113,;
1013,1114,;
1014,1115,;
1015,1116,;
1016,1117,;
1017,1118,;
1018,1119,;
1019,1120,;
1020,1121,;
1021,1122,;
1022,1123,;
1023,1124,;
1024,1125,;
1025,1126,;
1026,1127,;
1027,1128,;
1028,1129,;
1029,1130,;
1030,1131,;
1031,932,;
1032,933,;
1033,934,;
1034,935,;
1035,936,;
1036,937,;
1037,938,;
1038,939,;
1039,940,;
1040,941,;
1041,942,;
1042,943,;
1043,944,;
1044,945,;
1045,946,;
1046,947,;
1047,948,;
1048,949,;
1049,950,1051,;
951,1052,;
952,1053,;
953,1054,;
954,1055,;
955,1056,;
956,1057,;
957,1058,;
958,1059,;
959,1060,;
960,1061,;
961,1062,;
962,1063,;
963,1064,;
964,1065,;
965,1066,;
1067,;
1068,1167,;
1069,1168,;
1070,1169,;
1071,1170,;
1072,1171,;
1073,1172,;
1074,1173,;
1075,1174,;
1076,1175,;
1077,1176,;
1078,1177,;
1079,1178,;
1080,1179,;
1081,1180,;
1082,1181,;
1083,1182,;
1084,1183,;
1085,1184,;
1086,1185,;
1087,1186,;
1187,;
1087,1188,;
1088,1189,;
1089,1190,;
1090,1191,;
1091,1192,;
1092,1193,;
1093,1194,;
1094,1195,;
1095,1196,;
1096,1197,;
1097,1198,;
1098,1199,;
1101,1200,;
1102,1201,;
1202,;
1102,1203,;
1103,1204,;
1104,1205,;
1105,1206,;
1106,1207,;
1107,1208,;
1108,1209,;
1109,1210,;
1110,1211,;
1111,1212,;
1112,1213,;
1113,1214,;
1114,1215,;
1115,1216,;
1116,1217,;
1117,1218,;
1118,1219,;
1119,1220,;
1120,1221,;
1121,1222,;
1122,1223,;
1123,1224,;
1124,1225,;
1125,1226,;
1126,1227,;
1127,1228,;
1128,1229,;
1129,1230,;
1130,1231,;
1131,1032,;
1132,1033,;
1133,1034,;
1134,1035,;
1135,1036,;
1136,1037,;
1137,1038,;
1138,1039,;
1139,1040,;
1140,1041,;
1141,1042,;
1142,1043,;
1143,1044,;
1144,1045,;
1145,1046,;
1146,1047,;
1147,1048,;
1148,1049,;
1149,1050,1151,;
1051,1152,;
1052,1153,;
1053,1154,;
1054,1155,;
1055,1156,;
1056,1157,;
1057,1158,;
1058,1159,;
1059,1160,;
1060,1161,;
1061,1162,;
1062,1163,;
1063,1164,;
1064,1165,;
1065,1166,;
1066,1167,;
1168,1267,;
1169,1268,;
1170,1269,;
1171,1270,;
1172,1271,;
1173,1272,;
1174,1273,;
1175,1274,;
1176,1275,;
1177,1276,;
1178,1277,;
1179,1278,;
1180,1279,;
1181,1280,;
1182,1281,;
1183,1282,;
1184,1283,;
1185,1284,;
1186,1285,;
1286,;
1186,1287,;
1187,1288,;
1188,1289,;
1189,1290,;
1190,1291,;
1191,1292,;
1192,1293,;
1193,1294,;
1194,1295,;
1195,1296,;
1196,1297,;
1197,1298,;
1198,1299,;
1201,1300,;
1202,1301,;
1203,1302,;
1204,1303,;
1205,1304,;
1206,1305,;
1207,1306,;
1208,1307,;
1209,1308,;
1210,1309,;
1310,;
1210,1311,;
1211,1312,;
1212,1313,;
1213,1314,;
1214,1315,;
1215,1316,;
1216,1317,;
1217,1318,;
1218,1319,;
1219,1320,;
1220,1321,;
1221,1322,;
1222,1323,;
1223,1324,;
1224,1325,;
1225,1326,;
1226,1327,;
1227,1328,;
1228,1329,;
1229,1330,;
1230,1331,;
1231,1132,;
1232,1133,;
1233,1134,;
1234,1135,;
1235,1136,;
1236,1137,;
1237,1138,;
1238,1139,;
1239,1140,;
1240,1141,;
1241,1142,;
1242,1143,;
1243,1144,;
1244,1145,;
1245,1146,;
1246,1147,;
1247,1148,;
1248,1149,;
1249,1150,1251,;
1151,1252,;
1152,1253,;
1153,1254,;
1154,1255,;
1155,1256,;
1156,1257,;
1157,1258,;
1158,1259,;
1159,1260,;
1160,1261,;
1161,1262,;
1162,1263,;
1163,1264,;
1164,1265,;
1165,1266,;
1166,1267,1366,;
1268,1367,;
1269,1368,;
1270,1369,;
1271,1370,;
1272,1371,;
1273,1372,;
1274,1373,;
1275,1374,;
1276,1375,;
1277,1376,;
1278,1377,;
1279,1378,;
1280,1379,;
1281,1380,;
1282,1381,;
1283,1382,;
1284,1383,;
1384,;
1284,1385,;
1285,1386,;
1286,1387,;
1287,1388,;
1288,1389,;
1289,1390,;
1290,1391,;
1291,1392,;
1292,1393,;
1293,1394,;
1294,1395,;
1295,1396,;
1296,1397,;
1297,1398,;
1298,1399,;
1301,1400,;
1302,1401,;
1303,1402,;
1304,1403,;
1305,1404,;
1306,1405,;
1307,1406,;
1308,1407,;
1309,1408,;
1310,1409,;
1311,1410,;
1312,1411,;
1412,;
1312,1413,;
1313,1414,;
1314,1415,;
1315,1416,;
1316,1417,;
1317,1418,;
1318,1419,;
1319,1420,;
1320,1421,;
1321,1422,;
1322,1423,;
1323,1424,;
1324,1425,;
1325,1426,;
1326,1427,;
1327,1428,;
1328,1429,;
1329,1430,;
1330,1431,;
1331,1232,;
1332,1233,;
1333,1234,;
1334,1235,;
1335,1236,;
1336,1237,;
1337,1238,;
1338,1239,;
1339,1240,;
1340,1241,;
1341,1242,;
1342,1243,;
1343,1244,;
1344,1245,;
1345,1246,;
1346,1247,;
1347,1248,;
1348,1249,;
1349,1250,1351,;
1251,1352,;
1252,1353,;
1253,1354,;
1254,1355,;
1255,1356,;
1256,1357,;
1257,1358,;
1258,1359,;
1259,1360,;
1260,1361,;
1261,1362,;
1262,1363,;
1263,1364,;
1264,1365,;
1265,1366,;
1367,1466,;
1368,1467,;
1369,1468,;
1370,1469,;
1371,1470,;
1372,1471,;
1373,1472,;
1374,1473,;
1375,1474,;
1376,1475,;
1377,1476,;
1378,1477,;
1379,1478,;
1380,1479,;
1381,1480,;
1382,1481,;
1383,1482,;
1483,;
1383,1484,;
1384,1485,;
1385,1486,;
1386,1487,;
1387,1488,;
1388,1489,;
1389,1490,;
1390,1491,;
1391,1492,;
1392,1493,;
1393,1494,;
1394,1495,;
1395,1496,;
1396,1497,;
1397,;
1398,;
1401,1500,;
1402,1501,;
1403,1502,;
1404,1503,;
1405,1504,;
1406,1505,;
1407,1506,;
1408,1507,;
1409,1508,;
1410,1509,;
1411,1510,;
1412,1511,;
1413,1512,;
1414,1513,;
1415,1514,;
1416,1515,;
1516,;
1416,1517,;
1417,1518,;
1418,1519,;
1419,1520,;
1420,1521,;
1421,1522,;
1422,1523,;
1423,1524,;
1424,1525,;
1425,1526,;
1426,1527,;
1427,1528,;
1428,1529,;
1429,1530,;
1430,1531,;
1431,1332,;
1432,1333,;
1433,1334,;
1434,1335,;
1435,1336,;
1436,1337,;
1437,1338,;
1438,1339,;
1439,1340,;
1440,1341,;
1441,1342,;
1442,1343,;
1443,1344,;
1444,1345,;
1445,1346,;
1446,1347,;
1447,1348,;
1448,1349,1450,;
1350,1451,;
1351,1452,;
1352,1453,;
1353,1454,;
1354,1455,;
1355,1456,;
1356,1457,;
1357,1458,;
1358,1459,;
1359,1460,;
1360,1461,;
1361,1462,;
1362,1463,;
1363,1464,;
1364,1465,;
1365,1466,;
1467,1566,;
1468,1567,;
1469,1568,;
1470,1569,;
1471,1570,;
1472,1571,;
1473,1572,;
1474,1573,;
1475,1574,;
1476,1575,;
1477,1576,;
1478,1577,;
1479,1578,;
1480,1579,;
1481,1580,;
1581,;
1481,1582,;
1482,1583,;
1483,1584,;
1484,1585,;
1485,1586,;
1486,1587,;
1487,1588,;
1488,1589,;
1489,1590,;
1490,1591,;
1491,1592,;
1492,1593,;
1493,1594,;
1494,1595,;
1495,;
1496,;
1497,1398,;
1498,1399,;
1501,1600,;
1502,1601,;
1503,1602,;
1504,1603,;
1505,1604,;
1506,1605,;
1507,1606,;
1508,1607,;
1509,1608,;
1510,1609,;
1511,1610,;
1512,1611,;
1513,1612,;
1514,1613,;
1515,1614,;
1516,1615,;
1517,1616,;
1617,;
1517,1618,;
1518,1619,;
1519,1620,;
1520,1621,;
1521,1622,;
1522,1623,;
1523,1624,;
1524,1625,;
1525,1626,;
1526,1627,;
1527,1628,;
1528,1629,;
1529,1630,;
1530,1631,;
1531,1432,;
1532,1433,;
1533,1434,;
1534,1435,;
1535,1436,;
1536,1437,;
1537,1438,;
1538,1439,;
1539,1440,;
1540,1441,;
1541,1442,;
1542,1443,;
1543,1444,;
1544,1445,;
1545,1446,;
1546,1447,;
1547,1448,;
1548,1449,1550,;
1450,1551,;
1451,1552,;
1452,1553,;
1453,1554,;
1454,1555,;
1455,1556,;
1456,1557,;
1457,1558,;
1458,1559,;
1459,1560,;
1460,1561,;
1461,1562,;
1462,1563,;
1463,1564,;
1464,1565,;
1465,1566,;
1567,;
1568,1667,;
1569,1668,;
1570,1669,;
1571,1670,;
1572,1671,;
1573,1672,;
1574,1673,;
1575,1674,;
1576,1675,;
1577,1676,;
1578,1677,;
1678,;
1578,1679,;
1579,1680,;
1580,1681,;
1581,1682,;
1582,1683,;
1583,1684,;
1584,1685,;
1585,1686,;
1586,1687,;
1587,1688,;
1588,1689,;
1589,1690,;
1590,1691,;
1591,1692,;
1592,1693,;
1593,;
1594,;
1595,1496,;
1596,1497,;
1597,1498,;
1598,1499,;
1601,1700,;
1602,1701,;
1603,1702,;
1604,1703,;
1605,1704,;
1606,1705,;
1607,1706,;
1608,1707,;
1609,1708,;
1610,1709,;
1611,1710,;
1612,1711,;
1613,1712,;
1614,1713,;
1615,1714,;
1616,1715,;
1617,1716,;
1717,;
1617,1718,;
1618,1719,;
1619,1720,;
1620,1721,;
1621,1722,;
1622,1723,;
1623,1724,;
1624,1725,;
1625,1726,;
1626,1727,;
1627,1728,;
1628,1729,;
1629,1730,;
1630,1731,;
1631,1532,;
1632,1533,;
1633,1534,;
1634,1535,;
1635,1536,;
1636,1537,;
1637,1538,;
1638,1539,;
1639,1540,;
1640,1541,;
1641,1542,;
1642,1543,;
1643,1544,;
1644,1545,;
1645,1546,;
1646,1547,;
1647,1548,;
1648,1549,1650,;
1550,1651,;
1551,1652,;
1552,1653,;
1553,1654,;
1554,1655,;
1555,1656,;
1556,1657,;
1557,1658,;
1558,1659,;
1559,1660,;
1560,1661,;
1561,1662,;
1562,1663,;
1563,1664,;
1564,1665,;
1565,1666,;
1566,1667,;
1668,1767,;
1669,1768,;
1670,1769,;
1671,1770,;
1672,1771,;
1673,1772,;
1674,1773,;
1675,1774,;
1676,1775,;
1677,1776,;
1678,1777,;
1778,;
1678,1779,;
1679,1780,;
1680,1781,;
1681,1782,;
1682,1783,;
1683,1784,;
1684,1785,;
1685,1786,;
1686,1787,;
1687,1788,;
1688,1789,;
1689,1790,;
1690,1791,;
1691,;
1692,;
1693,1594,;
1694,1595,;
1695,1596,;
1696,1597,;
1697,1598,;
1698,1599,;
1701,1800,;
1702,1801,;
1703,1802,;
1704,1803,;
1705,1804,;
1706,1805,;
1707,1806,;
1708,1807,;
1709,1808,;
1710,1809,;
1711,1810,;
1712,1811,;
1713,1812,;
1714,1813,;
1715,1814,;
1716,1815,;
1717,1816,;
1718,1817,;
1719,1818,;
1819,;
1719,1820,;
1720,1821,;
1721,1822,;
1722,1823,;
1723,1824,;
1724,1825,;
1725,1826,;
1726,1827,;
1727,1828,;
1728,1829,;
1729,1830,;
1730,1831,;
1731,1632,;
1732,1633,;
1733,1634,;
1734,1635,;
1735,1636,;
1736,1637,;
1737,1638,;
1738,1639,;
1739,1640,;
1740,1641,;
1741,1642,;
1742,1643,;
1743,1644,;
1744,1645,;
1745,1646,;
1746,1647,;
1747,1648,;
1748,1649,1750,;
1650,1751,;
1651,1752,;
1652,1753,;
1653,1754,;
1654,1755,;
1655,1756,;
1656,1757,;
1657,1758,;
1658,1759,;
1659,1760,;
1660,1761,;
1661,1762,;
1662,1763,;
1663,1764,;
1664,1765,;
1665,1766,;
1666,1767,;
1768,1867,;
1769,1868,;
1770,1869,;
1771,1870,;
1772,1871,;
1773,1872,;
1774,1873,;
1775,1874,;
1776,1875,;
1777,1876,;
1877,;
1777,1878,;
1778,1879,;
1779,1880,;
1780,1881,;
1781,1882,;
1782,1883,;
1783,1884,;
1784,1885,;
1785,1886,;
1786,1887,;
1787,1888,;
1788,1889,;
1789,1890,;
1790,;
1791,1692,;
1792,1693,;
1793,1694,;
1794,1695,;
1795,1696,;
1796,1697,;
1797,1698,;
1798,1699,;
1801,1900,;
1802,1901,;
1803,1902,;
1804,1903,;
1805,1904,;
1806,1905,;
1807,1906,;
1808,1907,;
1809,1908,;
1810,1909,;
1811,1910,;
1812,1911,;
1813,1912,;
1814,1913,;
1815,1914,;
1816,1915,;
1817,1916,;
1818,1917,;
1819,1918,;
1820,1919,;
1821,1920,;
1921,;
1821,1922,;
1822,1923,;
1823,1924,;
1824,1925,;
1825,1926,;
1826,1927,;
1827,1928,;
1828,1929,;
1829,1930,;
1830,1931,;
1831,1732,;
1832,1733,;
1833,1734,;
1834,1735,;
1835,1736,;
1836,1737,;
1837,1738,;
1838,1739,;
1839,1740,;
1840,1741,;
1841,1742,;
1842,1743,;
1843,1744,;
1844,1745,;
1845,1746,;
1846,1747,;
1847,1748,1849,;
1749,1850,;
1750,1851,;
1751,1852,;
1752,1853,;
1753,1854,;
1754,1855,;
1755,1856,;
1756,1857,;
1757,1858,;
1758,1859,;
1759,1860,;
1760,1861,;
1761,1862,;
1762,1863,;
1763,1864,;
1764,1865,;
1765,1866,;
1766,1867,;
1868,1967,;
1869,1968,;
1870,1969,;
1871,1970,;
1872,1971,;
1873,1972,;
1874,1973,;
1875,1974,;
1876,1975,;
1877,1976,;
1977,;
1877,1978,;
1878,1979,;
1879,1980,;
1880,1981,;
1881,1982,;
1882,1983,;
1883,1984,;
1884,1985,;
1885,1986,;
1886,1987,;
1887,1988,;
1888,1989,;
1889,;
1890,1791,;
1891,1792,;
1892,1793,;
1893,1794,;
1894,1795,;
1895,1796,;
1896,1797,;
1897,1798,;
1898,1799,;
1901,2000,;
1902,2001,;
1903,2002,;
1904,2003,;
1905,2004,;
1906,2005,;
1907,2006,;
1908,2007,;
1909,2008,;
1910,2009,;
1911,2010,;
1912,2011,;
1913,2012,;
1914,2013,;
1915,2014,;
1916,2015,;
1917,2016,;
1918,2017,;
1919,2018,;
1920,2019,;
1921,2020,;
1922,2021,;
2022,;
1922,2023,;
1923,2024,;
1924,2025,;
1925,2026,;
1926,2027,;
1927,2028,;
1928,2029,;
1929,2030,;
1930,;
1931,1832,;
1932,1833,;
1933,1834,;
1934,1835,;
1935,1836,;
1936,1837,;
1937,1838,;
1938,1839,;
1939,1840,;
1940,1841,;
1941,1842,;
1942,1843,;
1943,1844,;
1944,1845,;
1945,1846,;
1946,1847,;
1947,1848,1949,;
1849,1950,;
1850,1951,;
1851,1952,;
1852,1953,;
1853,1954,;
1854,1955,;
1855,1956,;
1856,1957,;
1857,1958,;
1858,1959,;
1859,1960,;
1860,1961,;
1861,1962,;
1862,1963,;
1863,1964,;
1864,1965,;
1865,1966,;
1866,1967,;
1968,2067,;
1969,2068,;
1970,2069,;
1971,2070,;
1972,2071,;
1973,2072,;
1974,2073,;
1975,2074,;
1976,2075,;
2076,;
1976,2077,;
1977,2078,;
1978,2079,;
1979,2080,;
1980,2081,;
1981,2082,;
1982,2083,;
1983,2084,;
1984,2085,;
1985,2086,;
1986,2087,;
1987,2088,;
1988,;
1989,1890,;
1990,1891,;
1991,1892,;
1992,1893,;
1993,1894,;
1994,1895,;
1995,1896,;
1996,1897,;
1997,1898,;
1998,1899,;
2001,;
2002,;
2003,;
2004,;
2005,2104,;
2006,2105,;
2007,2106,;
2008,2107,;
2009,2108,;
2010,2109,;
2011,2110,;
2012,2111,;
2013,2112,;
2014,2113,;
2015,2114,;
